NAME;PSRJ;P0;P1;BINARY;PB;DIST;ASSOC;AGE;BSURF;EDOT
2417;J1528-5547;J1528-5547;3.467302;7.75E-15;*;*;4.471;*;7.09E+06;5.25E+12;7.34E+30
1764;J1513-5739;J1513-5739;0.973458;2.75E-14;*;*;5.89;*;5.60E+05;5.24E+12;1.18E+33
1817;J1859+0601;J1859+0601;1.044313;2.55E-14;*;*;6.438;*;6.49E+05;5.22E+12;8.84E+32
1474;B0922-52;J0924-5302;0.746338;3.53E-14;*;*;0.513;*;3.35E+05;5.20E+12;3.36E+33
1619;J1144-6217;J1144-6217;0.850665;3.08E-14;*;*;2.645;*;4.37E+05;5.18E+12;1.98E+33
395;B1643-43;J1646-4346;0.231603;1.13E-13;*;*;6.226;SNR:G341.2+0.9(?)[fgw94];3.25E+04;5.17E+12;3.58E+35
2255;B0339+53;J0343+5312;1.934478;1.34E-14;*;*;1.705;*;2.28E+06;5.16E+12;7.32E+31
1951;J1724-3505;J1724-3505;1.221708;2.11E-14;*;*;6.775;*;9.17E+05;5.14E+12;4.57E+32
1538;J1834-0742;J1834-0742;0.788354;3.25E-14;*;*;4.909;*;3.85E+05;5.12E+12;2.62E+33
2367;J1845-1351;J1845-1351;2.618918;9.72E-15;*;*;9.175;*;4.27E+06;5.11E+12;2.14E+31
2195;J1703-4442;J1703-4442;1.747293;1.43E-14;*;*;5.224;*;1.94E+06;5.06E+12;1.06E+32
2328;J1245-6238;J1245-6238;2.283093;1.09E-14;*;*;9.956;*;3.31E+06;5.05E+12;3.62E+31
1929;J1636-4803;J1636-4803;1.204644;2.07E-14;*;*;4.759;*;9.22E+05;5.05E+12;4.68E+32
1386;J1502-5828;J1502-5828;0.668105;3.64E-14;*;*;7.093;*;2.91E+05;4.99E+12;4.82E+33
831;B1828-11;J1830-1059;0.405073;5.99E-14;*;*;3.147;*;1.07E+05;4.99E+12;3.56E+34
90;B0540-69;J0540-6919;0.05057;4.79E-13;*;*;49.7;EXGAL:LMC,SNR:0540-693;1.67E+03;4.98E+12;1.46E+38
2413;J1538+2345;J1538+2345;3.449385;6.89E-15;*;*;1.312;*;7.93E+06;4.93E+12;6.63E+30
2149;J1736-2819;J1736-2819;1.592419;1.49E-14;*;*;6.012;*;1.69E+06;4.93E+12;1.46E+32
554;J0633+0632;J0633+0632;0.297395;7.96E-14;*;*;1.355;GRS:2FGL_J0633.7+0633[naa+12],XRS:Swift_;5.92E+04;4.92E+12;1.19E+35
278;J1934+2352;J1934+2352;0.178432;1.31E-13;*;*;12.204;*;2.16E+04;4.89E+12;9.08E+35
1947;J1616-5109;J1616-5109;1.219594;1.91E-14;*;*;6.842;*;1.01E+06;4.88E+12;4.15E+32
1030;J1430-5712;J1430-5712;0.491519;4.69E-14;*;*;3.902;*;1.66E+05;4.86E+12;1.56E+34
1931;B1809-173;J1812-1718;1.205374;1.91E-14;*;*;3.678;*;1.00E+06;4.85E+12;4.30E+32
1029;J1616-5017;J1616-5017;0.491384;4.66E-14;*;*;3.48;*;1.67E+05;4.84E+12;1.55E+34
2379;J1444-5941;J1444-5941;2.760228;8.23E-15;*;*;3.844;*;5.31E+06;4.82E+12;1.54E+31
2320;B1910+20;J1912+2104;2.232969;1.02E-14;*;*;3.369;*;3.48E+06;4.82E+12;3.61E+31
1835;J1744-3130;J1744-3130;1.066061;2.12E-14;*;*;3.304;*;7.96E+05;4.81E+12;6.92E+32
248;J2111+4606;J2111+4606;0.15783;1.43E-13;*;*;*;GRS:2FGL_J2111.3+4605[naa+12];1.75E+04;4.81E+12;1.44E+36
1043;J1827-1446;J1827-1446;0.499187;4.53E-14;*;*;*;GRS:3FGL_J1827.3-1446[aaa+15];1.74E+05;4.81E+12;1.44E+34
552;J1541-5535;J1541-5535;0.295838;7.50E-14;*;*;5.161;*;6.25E+04;4.77E+12;1.14E+35
2386;J0546+2441;J0546+2441;2.84385;7.65E-15;*;*;1.517;*;5.89E+06;4.72E+12;1.31E+31
1086;B1636-47;J1640-4715;0.51743;4.21E-14;*;*;4.909;*;1.95E+05;4.72E+12;1.20E+34
2261;B2045-16;J2048-1616;1.961572;1.10E-14;*;*;0.95;*;2.84E+06;4.69E+12;5.73E+31
1440;J1643-4550;J1643-4550;0.717508;3.00E-14;*;*;4.378;*;3.79E+05;4.69E+12;3.20E+33
830;J1756-2225;J1756-2225;0.40498;5.27E-14;*;*;4.779;*;1.22E+05;4.67E+12;3.13E+34
382;J1907+0918;J1907+0918;0.226107;9.43E-14;*;*;8.224;*;3.80E+04;4.67E+12;3.22E+35
782;B0656+14;J0659+1414;0.384929;5.49E-14;*;*;0.288;SNR:Monogem_Ring[tbb+03],GRS:2FGL_J0659.;1.11E+05;4.65E+12;3.80E+34
2395;J1629-3636;J1629-3636;2.988193;7.00E-15;*;*;4.232;*;6.76E+06;4.63E+12;1.04E+31
2420;J1059+6459;J1059+6459;3.63117;5.74E-15;*;*;1.814;*;1.00E+07;4.62E+12;4.73E+30
991;J0954-5430;J0954-5430;0.472851;4.39E-14;*;*;0.433;*;1.71E+05;4.61E+12;1.64E+34
1665;J1901+0234;J1901+0234;0.88524;2.30E-14;*;*;7.523;*;6.09E+05;4.57E+12;1.31E+33
2295;B0052+51;J0055+5117;2.115171;9.54E-15;*;*;2.857;*;3.51E+06;4.55E+12;3.98E+31
2432;J1853+0853;J1853+0853;3.914658;5.13E-15;*;*;12.648;*;1.21E+07;4.54E+12;3.38E+30
658;B0611+22;J0614+2229;0.33496;5.94E-14;*;*;3.571;*;8.93E+04;4.52E+12;6.24E+34
766;J1543-5459;J1543-5459;0.377138;5.21E-14;*;*;4.662;*;1.15E+05;4.49E+12;3.83E+34
785;J1452-5851;J1452-5851;0.386643;5.07E-14;*;*;4.504;*;1.21E+05;4.48E+12;3.46E+34
348;J1932+1916;J1932+1916;0.208215;9.32E-14;*;*;*;GRS:3FGL_J1932.2+1916;3.54E+04;4.46E+12;4.07E+35
617;J1705-3950;J1705-3950;0.318941;6.06E-14;*;*;3.426;*;8.34E+04;4.45E+12;7.37E+34
2375;J1749-2146;J1749-2146;2.714556;7.08E-15;*;*;9.601;*;6.08E+06;4.44E+12;1.40E+31
